model_name,latent_dim,r2_mean1,r2_std1,mse_mean1,mse_std1,maxse_mean1,maxse_std1,r2_mean2,r2_std2,mse_mean2,mse_std2,maxse_mean2,maxse_std2,r2_z1,r2_z2,r2_Z1Z3,r2_t_Z1,r2_t_Z3
3,5,0.43772912,0.30611715,0.024048606,0.011630982,0.13296011,0.07182368,0.08144894,0.35534793,0.020473875,0.008541204,0.094887085,0.043592025,"[np.float32(0.6258762), np.float32(0.6975248), np.float32(0.7490256), np.float32(0.3779589), np.float32(0.4000386), np.float32(0.4008459)]","[np.float32(0.37488872), np.float32(0.34651476), np.float32(-0.09531045), np.float32(-0.047737002), np.float32(-0.078979015), np.float32(-0.0317055)]","([np.float32(0.6227808), np.float32(0.69972265), np.float32(0.7566044), np.float32(0.39491177), np.float32(0.36937124), np.float32(0.35399085)], array([0.11431652, 0.10194891, 0.09829719, 0.08325023, 0.07211267,
       0.06899177], dtype=float32))",0.655215410946546,0.2679022125897023
3,5,0.500248908996582,0.2718728482723236,0.02130298502743244,0.010304010473191738,0.12074954062700272,0.0635116919875145,0.1185120940208435,0.35622256994247437,0.019846368581056595,0.008806757628917694,0.09244300425052643,0.0448606051504612,"[np.float32(0.8069315), np.float32(0.7953223), np.float32(0.62172294), np.float32(0.5062389), np.float32(0.53861153), np.float32(0.46429014)]","[np.float32(0.43368095), np.float32(0.42440307), np.float32(-0.056754827), np.float32(-0.10337138), np.float32(-0.095795274), np.float32(-0.030540705)]","([np.float32(0.8030317), np.float32(0.79653907), np.float32(0.6304635), np.float32(0.5187375), np.float32(0.42822903), np.float32(0.42825812)], array([0.11431652, 0.10194891, 0.09829719, 0.08325023, 0.07211267,
       0.06899177], dtype=float32))",0.6984198149076564,0.325491529152812
