Model Name,Latent Dim,Z2 R2 Mean,Z2 R2 Std,Z2 MSE Mean,Z2 MSE Std,Z2 MaxSE Mean,Z2 MaxSE Std,PCA R2 Z2 PC,Varianzce Explained Z2,PCA R2 Time Signal Z2
1-1,5,0.22487752,0.24017642,0.023420973,0.0077778795,0.14337294,0.05950973,"[np.float32(0.77038026), np.float32(0.18336833), np.float32(0.17892951), np.float32(0.5580642), np.float32(0.046704173), np.float32(-0.011398196), np.float32(-0.00086963177), np.float32(0.0020586252), np.float32(-0.0055629015), np.float32(-0.024178743)]","[0.15505533 0.13391227 0.12882373 0.10330974 0.08659596 0.07286661
 0.05630618 0.04275782 0.03649055 0.03329599]",0.3353588286171926
1-1,5,0.22216254472732544,0.2667103111743927,0.023489227518439293,0.008495780639350414,0.14369189739227295,0.06230732053518295,"[np.float32(0.77081066), np.float32(0.1785711), np.float32(0.16851103), np.float32(0.55193055), np.float32(0.046974957), np.float32(-0.0035529137), np.float32(-8.821487e-06), np.float32(-0.0005508661), np.float32(-0.010392189), np.float32(-0.027323961)]","[0.15505533 0.13391227 0.12882373 0.10330974 0.08659596 0.07286661
 0.05630618 0.04275782 0.03649055 0.03329599]",0.3355071544659005
