Model Name,Latent Dim,Z2 R2 Mean,Z2 R2 Std,Z2 MSE Mean,Z2 MSE Std,Z2 MaxSE Mean,Z2 MaxSE Std,PCA R2 Z2 PC,Varianzce Explained Z2,PCA R2 Time Signal Z2
2-1,5,0.73705137,0.10260569,0.007971227,0.0034324836,0.04978765,0.030887634,"[np.float32(0.9655039), np.float32(0.9580538), np.float32(0.97659296), np.float32(0.94637674), np.float32(0.87648946), np.float32(0.8456024), np.float32(0.7275631), np.float32(0.2560379), np.float32(0.22296363), np.float32(0.5204176)]","[0.15505533 0.13391227 0.12882373 0.10330974 0.08659596 0.07286661
 0.05630618 0.04275782 0.03649055 0.03329599]",0.8302919148857181
2-1,5,0.7369869351387024,0.1020890548825264,0.007967542856931686,0.003389980411157012,0.04956411197781563,0.030544398352503777,"[np.float32(0.96529335), np.float32(0.9564985), np.float32(0.9770694), np.float32(0.9471106), np.float32(0.8774862), np.float32(0.8427206), np.float32(0.7255245), np.float32(0.26383412), np.float32(0.22052675), np.float32(0.5260412)]","[0.15505533 0.13391227 0.12882373 0.10330974 0.08659596 0.07286661
 0.05630618 0.04275782 0.03649055 0.03329599]",0.8304232991994639
